Plot_No,Spacing,Instar,Date,Tmax,Tmin,Humidity,Rainfall,Photoperiod,Wind_Speed,THI,Dry_Bulb,Wet_Bulb,Net_Tech,Pests,Pebrine,Virosis,Bacteriosis,Muscardine,Date_parsed,THI_numeric
14.0,6x10,3rd,10-10-2025,33.0,20.0,75.0,X,11:12,2.2,33.2,26.0,24.0,Yes,A;U;M,0,0,0,0,2025-10-10,33.2
14.0,6x10,3rd,11-10-2025,32.0,20.0,70.0,X,11:12,1.5,33.1,25.0,23.0,Yes,A;U;M,0,0,0,0,2025-10-11,33.1
20.0,6x6,5th,07-10-2025,32.0,21.0,75.0,X,11:05,1.7,33.7,24.0,22.0,No,A;U;M,0,5,0,0,2025-10-07,33.7
20.0,6x6,5th,08-10-2025,28.0,21.0,80.0,X,11:05,1.1,32.8,24.0,22.0,No,A;U;M,0,5,0,0,2025-10-08,32.8
20.0,6x6,5th,09-10-2025,27.0,21.0,80.0,X,11:05,1.1,32.8,24.0,22.0,No,A;U;M,0,5,0,0,2025-10-09,32.8
20.0,6x6,5th,10-10-2025,32.0,20.0,75.0,X,11:12,2.1,33.2,26.0,23.0,No,A;U;M,0,3,0,0,2025-10-10,33.2
7.0,6x10,1st,07-10-2025,32.0,21.0,75.0,X,11:05,1.7,33.7,24.0,22.0,No,A;S;M,0,1,0,0,2025-10-07,33.7
7.0,6x10,1st,08-10-2025,32.0,21.0,80.0,X,11:05,1.1,32.8,24.0,22.0,No,A;S;M,0,2,0,0,2025-10-08,32.8
7.0,6x10,1st,09-10-2025,31.0,21.0,80.0,X,11:05,1.1,32.8,24.0,22.0,No,A;S;M,0,1,0,0,2025-10-09,32.8
7.0,6x10,1st,10-10-2025,31.0,20.0,75.0,X,11:12,2.1,33.2,26.0,23.0,No,A;S;M,0,1,0,0,2025-10-10,33.2
5.0,10x10,3rd,07-10-2025,32.0,21.0,75.0,X,11:05,1.7,33.7,24.0,22.0,Yes,A;U;M,0,4,0,0,2025-10-07,33.7
5.0,10x10,3rd,08-10-2025,32.0,21.0,80.0,X,11:05,1.1,32.8,24.0,22.0,Yes,A;U;M,0,6,0,0,2025-10-08,32.8
5.0,10x10,3rd,09-10-2025,31.0,21.0,80.0,X,11:05,1.1,32.8,24.0,22.0,Yes,A;U;M,0,9,0,0,2025-10-09,32.8
5.0,10x10,3rd,10-10-2025,32.0,20.0,75.0,X,11:12,2.1,33.2,26.0,23.0,Yes,A;U;M,0,15,0,0,2025-10-10,33.2
